,ID_DATA,END_DEVICE_NAME,DTYPE,VALUE,DATE_CREATED
0,29,PAI,Turbidez,8.61,2023-11-14 18:51:58
1,30,PAI,PH,8.87,2023-11-14 18:52:05
2,31,PAI,Temperatura,50.0,2023-11-14 18:52:12
3,32,PAI,TDS,17.73,2023-11-14 18:52:19
4,33,PAI,Condutividade,25.65,2023-11-14 18:52:26
5,34,PAI,Turbidez,8.61,2023-11-14 18:52:58
6,35,PAI,PH,8.87,2023-11-14 18:53:06
7,36,PAI,Temperatura,50.0,2023-11-14 18:53:13
8,37,PAI,TDS,17.74,2023-11-14 18:53:20
9,38,PAI,Condutividade,25.75,2023-11-14 18:53:27
10,39,PAI,Turbidez,8.62,2023-11-14 18:54:29
11,40,PAI,PH,8.91,2023-11-14 18:54:35
12,41,PAI,Temperatura,50.0,2023-11-14 18:54:42
13,42,PAI,TDS,17.83,2023-11-14 18:54:50
14,43,PAI,Condutividade,25.71,2023-11-14 18:54:57
15,44,PAI,Turbidez,8.62,2023-11-14 18:55:29
16,45,PAI,PH,8.8,2023-11-14 18:55:36
17,46,PAI,Temperatura,50.0,2023-11-14 18:55:43
18,47,PAI,TDS,17.6,2023-11-14 18:55:50
19,48,PAI,Condutividade,25.7,2023-11-14 18:55:57
20,49,PAI,Turbidez,8.66,2023-11-14 18:56:29
21,50,PAI,PH,8.88,2023-11-14 18:56:36
22,51,PAI,Temperatura,50.0,2023-11-14 18:56:43
23,52,PAI,TDS,17.75,2023-11-14 18:56:51
24,53,PAI,Condutividade,25.59,2023-11-14 18:56:58
25,54,PAI,Turbidez,8.66,2023-11-14 18:57:30
26,55,PAI,PH,8.86,2023-11-14 18:57:37
27,56,PAI,Temperatura,50.0,2023-11-14 18:57:44
28,57,PAI,TDS,17.72,2023-11-14 18:57:52
29,58,PAI,Condutividade,25.58,2023-11-14 18:57:59
30,59,PAI,Turbidez,8.67,2023-11-14 18:58:30
31,60,PAI,PH,8.85,2023-11-14 18:58:37
32,61,PAI,Temperatura,50.0,2023-11-14 18:58:45
33,62,PAI,TDS,17.71,2023-11-14 18:58:53
34,63,PAI,Condutividade,25.61,2023-11-14 18:59:00
35,64,PAI,Turbidez,8.66,2023-11-14 18:59:30
36,65,PAI,PH,8.91,2023-11-14 18:59:37
37,66,PAI,Temperatura,50.0,2023-11-14 18:59:44
38,67,PAI,TDS,17.83,2023-11-14 18:59:51
39,68,PAI,Condutividade,25.6,2023-11-14 18:59:58
40,69,PAI,Turbidez,8.66,2023-11-14 19:00:31
41,70,PAI,PH,8.92,2023-11-14 19:00:38
42,71,PAI,Temperatura,50.0,2023-11-14 19:00:45
43,72,PAI,TDS,17.84,2023-11-14 19:00:52
44,73,PAI,Condutividade,25.57,2023-11-14 19:00:58
45,74,PAI,Turbidez,8.65,2023-11-14 19:01:31
46,75,PAI,PH,8.83,2023-11-14 19:01:38
47,76,PAI,Temperatura,50.0,2023-11-14 19:01:45
48,77,PAI,TDS,17.66,2023-11-14 19:01:52
49,78,PAI,Condutividade,25.64,2023-11-14 19:01:59
50,79,PAI,Turbidez,8.64,2023-11-14 19:02:31
51,80,PAI,PH,8.85,2023-11-14 19:02:38
52,81,PAI,Temperatura,50.0,2023-11-14 19:02:45
53,82,PAI,TDS,17.69,2023-11-14 19:02:52
54,83,PAI,Condutividade,25.65,2023-11-14 19:02:59
55,84,PAI,Turbidez,8.63,2023-11-14 19:03:32
56,85,PAI,PH,8.79,2023-11-14 19:03:39
57,86,PAI,Temperatura,50.0,2023-11-14 19:03:46
58,87,PAI,TDS,17.58,2023-11-14 19:03:53
59,88,PAI,Condutividade,25.66,2023-11-14 19:04:00
60,89,PAI,Turbidez,8.63,2023-11-14 19:04:32
61,90,PAI,PH,8.9,2023-11-14 19:04:39
62,91,PAI,Temperatura,50.0,2023-11-14 19:04:46
63,92,PAI,TDS,17.8,2023-11-14 19:04:53
64,93,PAI,Condutividade,25.69,2023-11-14 19:05:00
65,94,PAI,Turbidez,8.63,2023-11-14 19:05:33
66,95,PAI,PH,8.88,2023-11-14 19:05:40
67,96,PAI,Temperatura,50.0,2023-11-14 19:05:47
68,97,PAI,TDS,17.76,2023-11-14 19:05:54
69,98,PAI,Condutividade,25.69,2023-11-14 19:06:01
70,99,PAI,Turbidez,8.63,2023-11-14 19:06:33
71,100,PAI,PH,8.91,2023-11-14 19:06:40
72,101,PAI,Temperatura,50.0,2023-11-14 19:06:47
73,102,PAI,TDS,17.82,2023-11-14 19:06:54
74,103,PAI,Condutividade,25.74,2023-11-14 19:07:01
75,104,PAI,Turbidez,8.63,2023-11-14 19:07:34
76,105,PAI,PH,8.82,2023-11-14 19:07:40
77,106,PAI,Temperatura,50.0,2023-11-14 19:07:47
78,107,PAI,TDS,17.64,2023-11-14 19:07:54
79,108,PAI,Condutividade,25.7,2023-11-14 19:08:01
80,109,PAI,Turbidez,8.63,2023-11-14 19:08:34
81,110,PAI,PH,8.83,2023-11-14 19:08:41
82,111,PAI,Temperatura,50.0,2023-11-14 19:08:49
83,112,PAI,TDS,17.67,2023-11-14 19:08:56
84,113,PAI,Condutividade,25.73,2023-11-14 19:09:02
85,114,PAI,Turbidez,8.63,2023-11-14 19:09:34
86,115,PAI,PH,8.8,2023-11-14 19:09:41
87,116,PAI,Temperatura,50.0,2023-11-14 19:09:50
88,117,PAI,TDS,17.6,2023-11-14 19:09:57
89,118,PAI,Condutividade,25.7,2023-11-14 19:10:04
90,119,PAI,Turbidez,8.63,2023-11-14 19:10:34
91,120,PAI,PH,8.76,2023-11-14 19:10:41
92,121,PAI,Temperatura,50.0,2023-11-14 19:10:49
93,122,PAI,TDS,17.52,2023-11-14 19:10:56
94,123,PAI,Condutividade,25.71,2023-11-14 19:11:03
95,124,PAI,Turbidez,8.77,2023-11-14 19:15:53
96,125,PAI,PH,28.04,2023-11-14 19:16:00
97,126,PAI,Temperatura,0.08,2023-11-14 19:16:06
98,127,PAI,TDS,56.09,2023-11-14 19:16:13
99,128,PAI,Condutividade,28.46,2023-11-14 19:16:20
100,129,PAI,Turbidez,8.38,2023-11-14 19:16:53
101,130,PAI,PH,37.14,2023-11-14 19:16:59
102,131,PAI,Temperatura,0.0,2023-11-14 19:17:06
103,132,PAI,TDS,74.28,2023-11-14 19:17:13
104,133,PAI,Condutividade,29.16,2023-11-14 19:17:20
105,134,PAI,Turbidez,8.64,2023-11-14 19:17:53
106,135,PAI,PH,27.71,2023-11-14 19:18:01
107,136,PAI,Temperatura,0.5,2023-11-14 19:18:08
108,137,PAI,TDS,55.42,2023-11-14 19:18:16
109,138,PAI,Condutividade,28.73,2023-11-14 19:18:24
110,139,PAI,Turbidez,8.8,2023-11-14 19:19:24
111,140,PAI,PH,34.24,2023-11-14 19:19:32
112,141,PAI,Temperatura,0.0,2023-11-14 19:19:40
113,142,PAI,TDS,68.48,2023-11-14 19:19:47
114,143,PAI,Condutividade,29.23,2023-11-14 19:19:54
115,144,PAI,Turbidez,6.99,2023-11-14 20:29:27
116,145,PAI,PH,11.26,2023-11-14 20:29:35
117,146,PAI,Temperatura,50.0,2023-11-14 20:29:43
118,147,PAI,TDS,22.51,2023-11-14 20:29:50
119,148,PAI,Condutividade,23.73,2023-11-14 20:29:57
120,149,PAI,Turbidez,6.53,2023-11-14 20:30:27
121,150,PAI,PH,11.17,2023-11-14 20:30:34
122,151,PAI,Temperatura,50.0,2023-11-14 20:30:41
123,152,PAI,TDS,22.35,2023-11-14 20:30:48
124,153,PAI,Condutividade,24.09,2023-11-14 20:30:55
125,154,PAI,Turbidez,6.52,2023-11-14 20:31:27
126,155,PAI,PH,18.96,2023-11-14 20:31:34
127,156,PAI,Temperatura,56.12,2023-11-14 20:31:42
128,157,PAI,TDS,37.92,2023-11-14 20:31:49
129,158,PAI,Condutividade,24.91,2023-11-14 20:31:57
130,159,PAI,Turbidez,6.38,2023-11-14 20:32:28
131,160,PAI,PH,17.23,2023-11-14 20:32:35
132,161,PAI,Temperatura,0.5,2023-11-14 20:32:42
133,162,PAI,TDS,34.46,2023-11-14 20:32:49
134,163,PAI,Condutividade,26.48,2023-11-14 20:32:56
135,164,PAI,Turbidez,6.75,2023-11-14 20:34:29
136,165,PAI,PH,17.75,2023-11-14 20:34:36
137,166,PAI,Temperatura,23.79,2023-11-14 20:34:43
138,167,PAI,TDS,35.49,2023-11-14 20:34:50
139,168,PAI,Condutividade,26.1,2023-11-14 20:34:57
140,169,PAI,Turbidez,6.93,2023-11-14 20:35:29
141,170,PAI,PH,16.37,2023-11-14 20:35:36
142,171,PAI,Temperatura,50.06,2023-11-14 20:35:43
143,172,PAI,TDS,32.74,2023-11-14 20:35:51
144,173,PAI,Condutividade,25.79,2023-11-14 20:36:01
145,174,PAI,Turbidez,6.88,2023-11-14 20:36:29
146,175,PAI,PH,16.44,2023-11-14 20:36:37
147,176,PAI,Temperatura,50.0,2023-11-14 20:36:46
148,177,PAI,TDS,32.89,2023-11-14 20:36:54
149,178,PAI,Condutividade,24.84,2023-11-14 20:37:02
150,179,PAI,Turbidez,7.06,2023-11-14 20:37:30
151,180,PAI,PH,15.86,2023-11-14 20:37:37
152,181,PAI,Temperatura,50.0,2023-11-14 20:37:44
153,182,PAI,TDS,31.72,2023-11-14 20:37:51
154,183,PAI,Condutividade,23.4,2023-11-14 20:37:58
155,184,PAI,Turbidez,6.95,2023-11-14 20:38:30
156,185,PAI,PH,15.54,2023-11-14 20:38:37
157,186,PAI,Temperatura,38.35,2023-11-14 20:38:44
158,187,PAI,TDS,31.07,2023-11-14 20:38:51
159,188,PAI,Condutividade,23.41,2023-11-14 20:38:58
160,189,PAI,Turbidez,6.7,2023-11-14 20:39:30
161,190,PAI,PH,14.66,2023-11-14 20:39:37
162,191,PAI,Temperatura,0.5,2023-11-14 20:39:44
163,192,PAI,TDS,29.31,2023-11-14 20:39:51
164,193,PAI,Condutividade,26.31,2023-11-14 20:39:58
165,194,PAI,Turbidez,6.68,2023-11-14 20:40:31
166,195,PAI,PH,14.22,2023-11-14 20:40:37
167,196,PAI,Temperatura,0.5,2023-11-14 20:40:44
168,197,PAI,TDS,28.43,2023-11-14 20:40:51
169,198,PAI,Condutividade,27.89,2023-11-14 20:40:59
170,199,PAI,Turbidez,6.94,2023-11-14 20:41:31
171,200,PAI,PH,14.19,2023-11-14 20:41:38
172,201,PAI,Temperatura,3.41,2023-11-14 20:41:45
173,202,PAI,Turbidez,7.44,2023-11-14 20:45:34
174,203,PAI,PH,49.37,2023-11-14 20:45:41
175,204,PAI,Temperatura,0.5,2023-11-14 20:45:48
176,205,PAI,TDS,98.74,2023-11-14 20:45:55
177,206,PAI,Condutividade,23.79,2023-11-14 20:46:02
178,207,PAI,Turbidez,6.42,2023-11-14 21:06:35
179,208,PAI,PH,7.81,2023-11-14 21:06:42
180,209,PAI,Temperatura,100.51,2023-11-14 21:06:49
181,210,PAI,TDS,15.62,2023-11-14 21:06:56
182,211,PAI,Condutividade,21.21,2023-11-14 21:07:03
183,212,PAI,Turbidez,6.43,2023-11-14 21:07:15
184,213,PAI,PH,8.15,2023-11-14 21:07:22
185,214,PAI,Temperatura,100.51,2023-11-14 21:08:01
186,215,PAI,TDS,16.3,2023-11-14 21:08:08
187,216,PAI,Condutividade,21.38,2023-11-14 21:08:15
188,217,PAI,Turbidez,6.47,2023-11-14 21:08:29
189,218,PAI,PH,8.12,2023-11-14 21:08:36
190,219,PAI,Temperatura,100.51,2023-11-14 21:08:43
191,220,PAI,TDS,16.24,2023-11-14 21:08:50
192,221,PAI,Condutividade,21.56,2023-11-14 21:08:57
193,222,PAI,Turbidez,6.49,2023-11-14 21:09:10
194,223,PAI,PH,8.82,2023-11-14 21:09:17
195,224,PAI,Temperatura,100.51,2023-11-14 21:09:24
196,225,PAI,TDS,17.64,2023-11-14 21:09:31
197,226,PAI,Condutividade,21.73,2023-11-14 21:09:38
198,227,PAI,Turbidez,7.33,2023-11-14 21:11:10
199,228,PAI,PH,8.43,2023-11-14 21:11:17
200,229,PAI,Temperatura,50.0,2023-11-14 21:11:24
201,230,PAI,TDS,16.86,2023-11-14 21:11:31
202,231,PAI,Condutividade,22.52,2023-11-14 21:11:38
203,232,PAI,Turbidez,6.56,2023-11-14 21:11:51
204,233,PAI,PH,8.31,2023-11-14 21:11:58
205,234,PAI,Temperatura,50.0,2023-11-14 21:12:06
206,235,PAI,TDS,16.62,2023-11-14 21:12:13
207,236,PAI,Condutividade,22.52,2023-11-14 21:12:20
208,237,PAI,Turbidez,6.41,2023-11-14 21:12:36
209,238,PAI,PH,8.61,2023-11-14 21:12:43
210,239,PAI,Temperatura,50.0,2023-11-14 21:12:50
211,240,PAI,TDS,17.22,2023-11-14 21:12:57
212,241,PAI,Condutividade,22.88,2023-11-14 21:13:05
213,242,PAI,Turbidez,6.36,2023-11-14 21:13:17
214,243,PAI,PH,8.59,2023-11-14 21:13:24
215,244,PAI,Temperatura,50.0,2023-11-14 21:13:31
216,245,PAI,TDS,17.18,2023-11-14 21:13:38
