DATE_CREATED,TURBIDEZ,PH,TEMPERATURA,TDS,CONDUTIVIDADE
2023-11-14 18:51:58,8.61,8.87,50.0,17.73,25.65
2023-11-14 18:52:58,8.61,8.87,50.0,17.74,25.75
2023-11-14 18:54:29,8.62,8.91,50.0,17.83,25.71
2023-11-14 18:55:29,8.62,8.8,50.0,17.6,25.7
2023-11-14 18:56:29,8.66,8.88,50.0,17.75,25.59
2023-11-14 18:57:30,8.66,8.86,50.0,17.72,25.58
2023-11-14 18:58:30,8.67,8.85,50.0,17.71,25.61
2023-11-14 18:59:30,8.66,8.91,50.0,17.83,25.6
2023-11-14 19:00:31,8.66,8.92,50.0,17.84,25.57
2023-11-14 19:01:31,8.65,8.83,50.0,17.66,25.64
2023-11-14 19:02:31,8.64,8.85,50.0,17.69,25.65
2023-11-14 19:03:32,8.63,8.79,50.0,17.58,25.66
2023-11-14 19:04:32,8.63,8.9,50.0,17.8,25.69
2023-11-14 19:05:33,8.63,8.88,50.0,17.76,25.69
2023-11-14 19:06:33,8.63,8.91,50.0,17.82,25.74
2023-11-14 19:07:34,8.63,8.82,50.0,17.64,25.7
2023-11-14 19:08:34,8.63,8.83,50.0,17.67,25.73
2023-11-14 19:09:34,8.63,8.8,50.0,17.6,25.7
2023-11-14 19:10:34,8.63,8.76,50.0,17.52,25.71
2023-11-14 19:15:53,8.77,28.04,0.08,56.09,28.46
2023-11-14 19:16:53,8.38,37.14,0.0,74.28,29.16
2023-11-14 19:17:53,8.64,27.71,0.5,55.42,28.73
2023-11-14 19:19:24,8.8,34.24,0.0,68.48,29.23
2023-11-14 20:29:27,6.99,11.26,50.0,22.51,23.73
2023-11-14 20:30:27,6.53,11.17,50.0,22.35,24.09
2023-11-14 20:31:27,6.52,18.96,56.12,37.92,24.91
2023-11-14 20:32:28,6.38,17.23,0.5,34.46,26.48
2023-11-14 20:34:29,6.75,17.75,23.79,35.49,26.1
2023-11-14 20:35:29,6.93,16.37,50.06,32.74,25.79
2023-11-14 20:36:29,6.88,16.44,50.0,32.89,24.84
2023-11-14 20:37:30,07.06,15.86,50.0,31.72,23.4
2023-11-14 20:38:30,6.95,15.54,38.35,31.07,23.41
2023-11-14 20:39:30,6.7,14.66,0.5,29.31,26.31
2023-11-14 20:40:31,6.68,14.22,0.5,28.43,27.89
2023-11-14 20:41:31,6.94,14.19,3.41,98.74,23.79
2023-11-14 20:45:34,7.44,49.37,0.5,15.62,21.21
2023-11-14 21:06:35,6.42,7.81,100.51,16.3,21.38
2023-11-14 21:07:15,6.43,8.15,100.51,16.24,21.56
2023-11-14 21:08:29,6.47,8.12,100.51,17.64,21.73
2023-11-14 21:09:10,6.49,8.82,100.51,16.86,22.52
2023-11-14 21:11:10,7.33,8.43,50.0,16.62,22.52
2023-11-14 21:11:51,6.56,8.31,50.0,17.22,22.88
2023-11-14 21:12:36,6.41,8.61,50.0,17.18,22.96
2023-11-14 21:13:17,6.36,8.59,50.0,224.75,23.05
2023-11-14 21:37:19,6.47,112.37,50.0,223.82,23.12
2023-11-14 21:38:00,6.47,111.91,50.0,224.34,23.14
2023-11-14 21:47:24,6.49,112.17,50.0,224.34,23.14
2023-11-14 21:48:15,6.5,112.17,50.0,225.06,22.99
2023-11-14 21:48:26,6.51,112.53,50.0,223.69,22.88
2023-11-14 21:49:12,6.56,111.84,50.0,210.54,22.85
2023-11-14 21:50:00,6.62,105.27,50.0,209.46,22.61
2023-11-14 21:51:00,7.36,104.73,50.0,205.39,23.6
2023-11-14 21:52:24,7.4,102.69,0.5,206.57,23.47
2023-11-14 21:53:05,06.09,103.28,0.5,208.11,23.41
2023-11-14 21:53:46,5.86,104.05,0.5,210.91,23.34
2023-11-14 21:54:28,5.97,105.45,0.5,208.47,23.76
2023-11-14 21:55:09,5.97,104.24,0.5,208.47,23.76
2023-11-14 21:55:50,5.88,104.24,0.5,206.85,23.85
2023-11-14 21:56:31,5.84,103.43,0.5,208.91,23.8
2023-11-14 21:57:12,5.92,104.45,0.5,213.37,22.86
2023-11-14 21:57:53,5.93,106.68,0.5,205.78,24.56
2023-11-14 21:58:34,5.91,102.89,0.5,206.05,23.89
2023-11-14 21:59:16,06.04,103.02,0.5,207.63,23.96
2023-11-14 21:59:57,5.96,103.81,0.5,208.15,23.98
2023-11-14 22:00:38,06.06,104.08,0.5,203.78,24.76
2023-11-14 22:01:19,06.05,101.89,0.5,206.69,24.18
2023-11-14 22:02:00,6.13,103.35,0.5,208.15,23.98
2023-11-14 22:02:41,06.08,104.08,0.5,204.27,24.94
2023-11-14 22:03:22,06.06,102.14,0.5,207.68,24.09
2023-11-14 22:04:04,6.12,103.84,0.5,205.95,24.36
2023-11-14 22:04:45,6.11,102.98,0.5,203.89,24.87
2023-11-14 22:05:26,6.2,101.94,0.5,207.4,24.16
2023-11-14 22:06:07,6.11,103.7,0.5,207.21,24.2
2023-11-14 22:06:48,6.2,103.6,0.5,205.95,24.36
2023-11-14 22:07:29,6.16,102.98,0.5,207.49,24.13
2023-11-14 22:08:10,6.2,103.75,0.5,207.59,24.11
2023-11-14 22:08:52,6.22,103.79,0.5,204.25,24.78
2023-11-14 22:09:33,6.23,102.13,0.5,207.8,24.07
2023-11-14 22:10:14,6.21,103.9,0.5,206.29,24.42
2023-11-14 22:10:55,6.21,103.15,0.5,102.83,205.67
2023-11-14 22:11:36,6.25,102.34,24.47,103.05,206.1
2023-11-14 22:12:17,6.21,6.27,24.38,103.23,206.47
2023-11-14 22:13:13,0.5,6.22,24.51,102.96,205.92
2023-11-14 22:14:04,0.5,6.25,24.58,102.82,205.64
2023-11-14 22:14:45,0.5,6.27,24.49,103.0,206.01
2023-11-14 22:15:26,0.5,6.3,24.4,103.19,206.38
2023-11-14 22:16:08,0.5,6.27,24.53,102.91,205.82
2023-11-14 22:16:48,0.5,6.3,24.53,102.91,205.82
2023-11-14 22:17:29,0.5,6.28,24.64,102.68,205.36
2023-11-14 22:18:10,0.5,6.3,24.58,102.82,205.64
2023-11-14 22:18:52,0.5,6.27,24.45,103.1,206.2
2023-11-14 22:19:33,0.5,6.35,24.87,102.23,204.46
2023-11-14 22:20:14,0.5,6.29,24.76,102.45,204.9
2023-11-14 22:20:55,0.5,6.35,24.89,102.48,204.97
2023-11-14 22:21:36,0.5,6.33,24.69,103.5,207.0
2023-11-14 22:22:18,0.5,6.36,24.69,102.89,205.79
2023-11-14 22:23:00,0.5,6.37,24.49,103.93,207.86
2023-11-14 22:23:40,0.5,6.37,24.89,102.78,205.57
2023-11-14 22:24:21,0.5,6.32,24.8,103.27,206.55
